"Dataset","Sample","Assembly","total_reads","size","User_time","System_time","Elapsed_time","MRSS","File_outputs","CPU_percentage"
"V255","NGS_Ode","SAMD00025505","shiver",192572,31935278,3745.82,35.84," 1;00;53",1339528,9785008," 103%"
"V2127","NGS_Ode","SAMD00025505","smaltalign",192572,31935278,1912.59,17.81," 11;05.10",1427696,2031408," 290%"
"V2226","NGS_Ode","SAMD00025505","viralngs",192572,31935278,424.53,14.89," 2;53.74",916160,2348952," 252%"
"V2326","NGS_Ode","SAMD00025505","vpipe",192572,31935278,14570.58,4135.7," 1;22;11",1183456,14473128," 379%"
"V256","NGS_Ode","SAMD00025506","shiver",368898,56969763,6662.46,49.31," 1;47;47",1354728,16737088," 103%"
"V2128","NGS_Ode","SAMD00025506","smaltalign",368898,56969763,1868.03,16.53," 12;09.28",1427640,2027896," 258%"
"V2227","NGS_Ode","SAMD00025506","viralngs",368898,56969763,846.66,24.18," 4;03.89",1025820,4726048," 357%"
"V2327","NGS_Ode","SAMD00025506","vpipe",368898,56969763,11807.35,1165.79," 58;26.28",1189492,15976144," 369%"
"V257","NGS_Ode","SAMD00025507","shiver",490242,81439851,7267.42,57.44," 1;57;03",1350484,21413200," 104%"
"V2129","NGS_Ode","SAMD00025507","smaltalign",490242,81439851,2016.95,16.7," 12;27.69",1427176,2140368," 271%"
"V2228","NGS_Ode","SAMD00025507","viralngs",490242,81439851,1230.39,32.01," 6;04.56",1368936,6683480," 346%"
"V2328","NGS_Ode","SAMD00025507","vpipe",490242,81439851,13903.84,1307.28," 1;07;57",1197636,16647208," 373%"
"V258","NGS_Ode","SAMD00025508","shiver",703994,105376450,6236.77,55.58," 1;40;10",1346692,24237208," 104%"
"V2130","NGS_Ode","SAMD00025508","smaltalign",703994,105376450,2041.2,18.66," 11;57.18",1429216,2042144," 287%"
"V2229","NGS_Ode","SAMD00025508","viralngs",703994,105376450,1264.07,39.32," 7;34.67",1387616,9303176," 286%"
